AccidentDatetime,CaseNumber,ORI,HouseNumber,StreetPrefix,StreetPreType,StreetName,StreetType,StreetSuffix,XStreetPrefix,XStreetPreType,XStreetName,XStreetType,XStreetSuffix,UnitNumber,UnitType,DriverPedCondition,ChemicalTest,ContributingFactors
1/1/2022,2022-00000025,OK0140200,,,,120TH,AVE,NE,,,ALAMEDA,DR,,1,D - Driver,Drinking - Ability Impaired,Blood,Alcohol DUI/DWI
1/1/2022,2022-00000068,OK0140200,,,,I35 SB OFF RAMP 113,RAMP,,N,,FLOOD,AVE,,1,D - Driver,Apparently Normal,None Given,Rain or Wet Roadway
1/1/2022,2022-00000101,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/1/2022,2022-00000101,OK0140200,,W,,LINDSEY,ST,,,,24TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Private Drive
1/1/2022,2022-00000161,OK0140200,,N,,INTERSTATE,DR,,W,,ROBINSON,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/1/2022,2022-00000161,OK0140200,,N,,INTERSTATE,DR,,W,,ROBINSON,ST,,1,D - Driver,Apparently Normal,None Given,Improper Backing
1/2/2022,2022-00000199,OK0140200,,,,ALAMEDA,DR,,,,84TH,AVE,NE,1,D - Driver,Sleepy,None Given,Apparently Sleepy
1/2/2022,2022-00000219,OK0140200,,,,36TH,AVE,NW,W,,TECUMSEH,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/2/2022,2022-00000219,OK0140200,,,,36TH,AVE,NW,W,,TECUMSEH,RD,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/2/2022,2022-00000221,OK0140200,,W,,MAIN,ST,,,,36TH,AVE,NW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/2/2022,2022-00000221,OK0140200,,W,,MAIN,ST,,,,36TH,AVE,NW,1,D - Driver,Apparently Normal,None Given,Private Drive
1/2/2022,2022-00000246,OK0140200,,,,PRIVATE PROPERTY / 1604 24TH AVE NW,,,,,,,,2,C - Parked Car,Not Applicable,None Given,Incident Report
1/2/2022,2022-00000246,OK0140200,,,,PRIVATE PROPERTY / 1604 24TH AVE NW,,,,,,,,1,D - Driver,Apparently Normal,None Given,Incident Report
1/1/2022,2022-00000281,OK0140200,,W,,BROOKS,ST,,S,,PICKARD,AVE,,2,C - Parked Car,Not Applicable,Not Applicable,No Improper Action by Driver
1/1/2022,2022-00000281,OK0140200,,W,,BROOKS,ST,,S,,PICKARD,AVE,,1,D - Driver,Unknown,None Given,Parked Position
1/3/2022,2022-00000367,OK0140200,,E,,ROBINSON,ST,,N,,PONCA,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2022,2022-00000367,OK0140200,,E,,ROBINSON,ST,,N,,PONCA,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/3/2022,2022-00000375,OK0140200,,S,,MERCEDES,DR,,W,,MAIN,ST,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/3/2022,2022-00000375,OK0140200,,S,,MERCEDES,DR,,W,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2022,2022-00000383,OK0140200,,W,,ROBINSON,ST,,N,,INTERSTATE,DR,,1,D - Driver,Apparently Normal,None Given,Brakes
