AccidentNumber,AccidentDatetime,UnitNumber,UnitSubjectNumber,Description,Sev_Num
2016-00000027,1/1/2016 1:29,1,1,No Injury,3
2016-00000027,1/1/2016 1:29,2,1,No Injury,3
2016-00000548,1/3/2016 16:50,1,1,No Injury,3
2016-00000548,1/3/2016 16:50,2,1,No Injury,3
2016-00000192,1/1/2016 22:20,2,1,No Injury,3
2016-00000192,1/1/2016 22:20,2,2,No Injury,3
2016-00000192,1/1/2016 22:20,1,1,Possible,4
2016-00000544,1/3/2016 16:34,1,1,No Injury,3
2016-00000544,1/3/2016 16:34,3,1,No Injury,3
2016-00000544,1/3/2016 16:34,3,2,No Injury,3
2016-00000544,1/3/2016 16:34,2,1,Possible,4
2016-00000880,1/5/2016 9:47,1,1,No Injury,3
2016-00000880,1/5/2016 9:47,2,1,No Injury,3
2016-00000505,1/3/2016 13:40,1,1,No Injury,3
2016-00000505,1/3/2016 13:40,1,2,No Injury,3
2016-00000505,1/3/2016 13:40,2,1,No Injury,3
2016-00000877,1/5/2016 9:27,1,1,No Injury,3
2016-00000877,1/5/2016 9:27,2,1,No Injury,3
2016-00000309,1/2/2016 14:04,1,1,No Injury,3
2016-00000309,1/2/2016 14:04,2,1,No Injury,3
2016-00000309,1/2/2016 14:04,2,2,No Injury,3
2016-00000988,1/5/2016 18:22,1,1,No Injury,3
2016-00000988,1/5/2016 18:22,2,1,No Injury,3
2016-00000988,1/5/2016 18:22,3,1,No Injury,3
2016-00000374,1/2/2016 20:10,1,1,No Injury,3
2016-00000374,1/2/2016 20:10,2,1,No Injury,3
2016-00000374,1/2/2016 20:10,2,2,No Injury,3
2016-00000374,1/2/2016 20:10,2,3,No Injury,3
2016-00000374,1/2/2016 20:10,2,4,No Injury,3
2016-00000380,1/2/2016 20:47,1,1,No Injury,3
2016-00000380,1/2/2016 20:47,1,2,No Injury,3
2016-00000380,1/2/2016 20:47,3,1,No Injury,3
2016-00000380,1/2/2016 20:47,3,2,No Injury,3
2016-00000380,1/2/2016 20:47,2,1,Possible,4
2016-00000511,1/3/2016 13:54,1,1,No Injury,3
2016-00000511,1/3/2016 13:54,2,1,No Injury,3
2016-00000692,1/4/2016 13:02,1,1,No Injury,3
2016-00000692,1/4/2016 13:02,2,1,No Injury,3
2016-00000692,1/4/2016 13:02,2,2,No Injury,3
2016-00000959,1/5/2016 15:44,1,1,No Injury,3
2016-00000959,1/5/2016 15:44,2,1,No Injury,3
2016-00000752,1/4/2016 16:39,1,1,No Injury,3
2016-00000752,1/4/2016 16:39,2,1,No Injury,3
2016-00001111,1/6/2016 13:17,1,1,No Injury,3
2016-00001111,1/6/2016 13:17,2,1,Possible,4
2016-00000435,1/3/2016 1:18,2,1,Not Applicable,1
2016-00000435,1/3/2016 1:18,1,1,Unknown,2
2016-00001205,1/6/2016 20:39,1,1,No Injury,3
2016-00001247,1/7/2016 7:23,1,1,No Injury,3
2016-00001247,1/7/2016 7:23,3,1,No Injury,3
2016-00001247,1/7/2016 7:23,2,1,Possible,4
2016-00001248,1/7/2016 7:35,2,1,No Injury,3
2016-00001248,1/7/2016 7:35,1,1,Non-Incapacitating,5
2016-00001248,1/7/2016 7:35,3,1,Non-Incapacitating,5
2016-00001248,1/7/2016 7:35,3,2,Non-Incapacitating,5
2016-00001356,1/7/2016 16:59,1,1,No Injury,3
2016-00001356,1/7/2016 16:59,2,1,No Injury,3
2016-00001313,1/7/2016 13:38,1,1,No Injury,3
2016-00001313,1/7/2016 13:38,2,1,No Injury,3
2016-00001287,1/7/2016 11:18,2,1,No Injury,3
2016-00001287,1/7/2016 11:18,1,1,Possible,4
2016-00000714,1/4/2016 14:31,2,1,No Injury,3
2016-00000714,1/4/2016 14:31,1,1,Non-Incapacitating,5
2016-00001457,1/8/2016 11:04,1,1,No Injury,3
2016-00001457,1/8/2016 11:04,2,1,No Injury,3
2016-00001544,1/8/2016 17:49,1,1,No Injury,3
2016-00001544,1/8/2016 17:49,1,2,No Injury,3
2016-00001544,1/8/2016 17:49,2,1,No Injury,3
2016-00001535,1/8/2016 17:17,1,1,No Injury,3
2016-00001535,1/8/2016 17:17,2,1,No Injury,3
2016-00001649,1/9/2016 9:09,1,1,No Injury,3
2016-00001467,1/8/2016 11:44,1,1,No Injury,3
2016-00001467,1/8/2016 11:44,1,2,No Injury,3
2016-00000641,1/4/2016 9:16,1,1,No Injury,3
2016-00000641,1/4/2016 9:16,2,1,No Injury,3
2016-00000279,1/2/2016 11:38,1,1,Non-Incapacitating,5
2016-00000279,1/2/2016 11:38,2,1,Non-Incapacitating,5
2016-00000279,1/2/2016 11:38,2,2,Non-Incapacitating,5
2016-00000279,1/2/2016 11:38,2,3,Incapacitating,6
2016-00000279,1/2/2016 11:38,2,4,Incapacitating,6
2016-00000964,1/5/2016 16:14,1,1,No Injury,3
2016-00000964,1/5/2016 16:14,1,2,No Injury,3
2016-00000964,1/5/2016 16:14,1,3,No Injury,3
2016-00000964,1/5/2016 16:14,1,4,No Injury,3
2016-00000964,1/5/2016 16:14,2,1,No Injury,3
2016-00000964,1/5/2016 16:14,2,2,No Injury,3
2016-00000964,1/5/2016 16:14,2,3,No Injury,3
2016-00000987,1/5/2016 18:08,1,1,No Injury,3
2016-00000987,1/5/2016 18:08,2,1,No Injury,3
2016-00000987,1/5/2016 18:08,3,1,No Injury,3
2016-00001303,1/7/2016 12:41,1,1,No Injury,3
2016-00001303,1/7/2016 12:41,1,2,No Injury,3
2016-00001526,1/8/2016 16:26,1,1,No Injury,3
2016-00001526,1/8/2016 16:26,2,1,No Injury,3
2016-00001526,1/8/2016 16:26,2,2,No Injury,3
2016-00001653,1/9/2016 9:18,1,1,No Injury,3
2016-00001653,1/9/2016 9:18,2,1,No Injury,3
2016-00000985,1/5/2016 17:56,1,1,No Injury,3
2016-00000985,1/5/2016 17:56,2,1,No Injury,3
2016-00000985,1/5/2016 17:56,2,2,No Injury,3
2016-00000699,1/4/2016 13:28,1,1,Unknown,2
2016-00000699,1/4/2016 13:28,2,1,No Injury,3
2016-00001897,1/10/2016 13:41,1,1,No Injury,3
2016-00001897,1/10/2016 13:41,2,1,No Injury,3
2016-00000936,1/5/2016 14:18,1,1,No Injury,3
2016-00000936,1/5/2016 14:18,2,1,No Injury,3
2016-00001290,1/7/2016 11:23,1,1,No Injury,3
2016-00001290,1/7/2016 11:23,2,1,No Injury,3
2016-00001523,1/8/2016 16:18,1,2,No Injury,3
2016-00001523,1/8/2016 16:18,2,1,No Injury,3
2016-00001523,1/8/2016 16:18,2,2,No Injury,3
2016-00001523,1/8/2016 16:18,2,3,No Injury,3
2016-00001523,1/8/2016 16:18,2,4,No Injury,3
2016-00001523,1/8/2016 16:18,2,5,No Injury,3
2016-00001523,1/8/2016 16:18,1,1,Non-Incapacitating,5
2016-00002089,1/11/2016 14:39,1,1,No Injury,3
2016-00002089,1/11/2016 14:39,1,2,No Injury,3
2016-00000267,1/2/2016 10:34,1,1,No Injury,3
2016-00000267,1/2/2016 10:34,1,2,No Injury,3
2016-00000267,1/2/2016 10:34,1,3,No Injury,3
2016-00000267,1/2/2016 10:34,1,4,No Injury,3
2016-00000267,1/2/2016 10:34,2,1,No Injury,3
2016-00000267,1/2/2016 10:34,2,2,No Injury,3
2016-00002000,1/10/2016 13:20,1,1,No Injury,3
2016-00002000,1/10/2016 13:20,1,2,No Injury,3
2016-00002441,1/12/2016 22:58,1,1,Non-Incapacitating,5
2016-00001372,1/7/2016 18:40,1,1,No Injury,3
2016-00001372,1/7/2016 18:40,2,1,No Injury,3
2016-00002297,1/12/2016 12:16,1,1,No Injury,3
2016-00002297,1/12/2016 12:16,2,1,No Injury,3
2016-00002370,1/12/2016 16:30,1,1,Unknown,2
2016-00002463,1/13/2016 5:57,1,1,No Injury,3
2016-00002463,1/13/2016 5:57,2,1,Possible,4
2016-00002639,1/13/2016 20:30,2,1,Not Applicable,1
2016-00002639,1/13/2016 20:30,1,1,No Injury,3
2016-00001239,1/7/2016 6:26,1,1,No Injury,3
2016-00001239,1/7/2016 6:26,2,1,Possible,4
2016-00002620,1/13/2016 19:02,1,1,No Injury,3
2016-00002620,1/13/2016 19:02,2,1,No Injury,3
2016-00002620,1/13/2016 19:02,2,2,No Injury,3
2016-00001570,1/8/2016 19:48,2,1,No Injury,3
2016-00001570,1/8/2016 19:48,2,2,No Injury,3
2016-00001570,1/8/2016 19:48,2,3,No Injury,3
2016-00001570,1/8/2016 19:48,1,1,Non-Incapacitating,5
2016-00002084,1/11/2016 14:17,1,1,No Injury,3
2016-00002084,1/11/2016 14:17,2,1,No Injury,3
2016-00002426,1/12/2016 21:07,2,1,Not Applicable,1
2016-00002426,1/12/2016 21:07,1,1,Non-Incapacitating,5
2016-00002481,1/13/2016 8:35,1,1,No Injury,3
2016-00002481,1/13/2016 8:35,1,2,No Injury,3
2016-00002481,1/13/2016 8:35,2,1,No Injury,3
2016-00002481,1/13/2016 8:35,2,2,No Injury,3
2016-00002514,1/13/2016 11:31,1,1,No Injury,3
2016-00002514,1/13/2016 11:31,2,1,No Injury,3
2016-00002607,1/13/2016 17:52,1,1,No Injury,3
2016-00002607,1/13/2016 17:52,2,1,No Injury,3
2016-00002547,1/13/2016 13:56,1,1,No Injury,3
2016-00002547,1/13/2016 13:56,2,1,No Injury,3
2016-00001357,1/7/2016 17:14,1,1,No Injury,3
2016-00001357,1/7/2016 17:14,1,2,No Injury,3
2016-00001357,1/7/2016 17:14,1,3,No Injury,3
2016-00001357,1/7/2016 17:14,2,1,No Injury,3
2016-00002526,1/13/2016 12:38,1,1,No Injury,3
2016-00002526,1/13/2016 12:38,2,1,No Injury,3
2016-00002526,1/13/2016 12:38,3,1,No Injury,3
2016-00002711,1/14/2016 8:50,1,1,Not Applicable,1
2016-00002711,1/14/2016 8:50,2,1,Not Applicable,1
2016-00002784,1/14/2016 14:30,1,1,No Injury,3
2016-00002784,1/14/2016 14:30,2,1,No Injury,3
2016-00002784,1/14/2016 14:30,2,2,No Injury,3
2016-00002803,1/14/2016 15:15,1,1,No Injury,3
2016-00002803,1/14/2016 15:15,2,1,No Injury,3
2016-00002926,1/15/2016 5:36,2,1,Unknown,2
2016-00002926,1/15/2016 5:36,1,1,No Injury,3
2016-00002516,1/13/2016 11:45,1,1,No Injury,3
2016-00002516,1/13/2016 11:45,3,1,No Injury,3
2016-00002516,1/13/2016 11:45,3,2,No Injury,3
2016-00002516,1/13/2016 11:45,2,1,Possible,4
2016-00000782,1/4/2016 18:55,2,1,No Injury,3
2016-00000782,1/4/2016 18:55,2,3,No Injury,3
2016-00000782,1/4/2016 18:55,2,4,No Injury,3
2016-00000782,1/4/2016 18:55,1,1,Possible,4
2016-00000782,1/4/2016 18:55,2,2,Possible,4
2016-00002294,1/12/2016 12:05,1,1,No Injury,3
2016-00002294,1/12/2016 12:05,1,2,No Injury,3
2016-00002294,1/12/2016 12:05,2,1,No Injury,3
2016-00002294,1/12/2016 12:05,2,2,No Injury,3
2016-00002294,1/12/2016 12:05,2,3,No Injury,3
2016-00002294,1/12/2016 12:05,2,4,No Injury,3
2016-00002081,1/11/2016 14:07,1,1,No Injury,3
2016-00002081,1/11/2016 14:07,2,1,No Injury,3
2016-00002081,1/11/2016 14:07,2,2,No Injury,3
2016-00002364,1/12/2016 16:20,1,1,No Injury,3
2016-00002364,1/12/2016 16:20,2,1,No Injury,3
