CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID
2023-00074893,11/6/2023,7/1/2010,1,2,90Z,21-1123,LEWD OR INDECENT PROPOSALS/ACTS TO CHILD (ALL OTHER OFFENSE),-1047471
2023-00074893,11/6/2023,7/1/2010,1,1,90Z,10-7102,CHILD ABUSE,-1047470
2023-90000518,10/19/2023,2/14/2024,1,2,23C,24-503,PETTY LARCENY,-1047260
2023-00065929,10/1/2023,10/1/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1047128
2023-00080129,11/27/2023,11/27/2023,1,1,86C,ANIMALEXPOSURE,ANIMAL EXPOSURE / BITE,-1047088
2023-00031675,5/16/2023,5/16/2023,1,3,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,-1046926
2023-00032035,5/17/2023,3/5/2023,1,1,370,21-1021.2,PRODUCE/DIST/POSS JUVENILE PORNOGRAPHY,-1046873
2023-00032020,5/17/2023,4/7/2023,1,1,370,21-1021.2,PRODUCE/DIST/POSS JUVENILE PORNOGRAPHY,-1046872
2023-00084920,12/17/2023,2/9/2024,1,4,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1046777
2023-00084920,12/17/2023,2/9/2024,1,3,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1046776
2023-00071284,10/22/2023,10/22/2023,1,1,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,-1046772
2023-00082872,12/8/2023,12/8/2023,1,1,90Z,21-1685,CRUELTY TO ANIMALS,-1046713
2023-00081590,12/3/2023,2/6/2024,1,2,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1046712
2023-00080345,11/28/2023,2/6/2024,1,7,90Z,47-4.107,REMOVED FALSIFIED OR UNAUTHORIZED IDENTIFICATION,-1046634
2023-00080345,11/28/2023,2/6/2024,1,6,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1046633
2023-00080345,11/28/2023,2/6/2024,1,5,90Z,21-540,OBSTRUCTING OFFICER,-1046632
2023-00080345,11/28/2023,2/6/2024,1,4,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1046631
2023-00080345,11/28/2023,2/6/2024,1,3,90Z,21-540,OBSTRUCTING OFFICER,-1046630
2023-00080345,11/28/2023,2/6/2024,1,2,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1046629
2023-00062687,9/19/2023,1/24/2024,3,9,250,21-1500,SECURING REAL PROPERTY LOAN W/FALSE INSTRUMENT (COUNTERFEITING/FORGERY),-1046596
2023-00062687,9/19/2023,1/24/2024,1,8,250,21-1578,POSS OF FORGED / COUNTERFEIT EVIDENCE OF DEBT,-1046595
2023-00062687,9/19/2023,1/24/2024,2,7,26A,21-1541.2,OBTAIN PROPERTY BY FALSE PRETENSE >$500 (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1046594
2023-00062687,9/19/2023,1/24/2024,1,6,26A,21-1662,FRAUD ON INSURANCE COMPANY,-1046593
2023-00062687,9/19/2023,1/24/2024,3,5,240,21-1720,LARCENY OF AUTO,-1046592
2023-00062687,9/19/2023,1/24/2024,9,4,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1046591
2023-00062687,9/19/2023,1/24/2024,3,3,26C,21-1531,FALSE PERSONATION,-1046590
2023-00087277,12/28/2023,2/1/2024,1,2,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1046373
2023-00064595,9/27/2023,6/1/2023,1,1,250,21-1592,UTTERING FORGED INSTRUMENTS (COUNTERFEITING/FORGERY),-1046330
2023-00069783,10/17/2023,10/17/2023,1,1,90Z,CIRT INVESTIGATION,CIRT INVESTIGATION,-1046040
2023-00082499,12/7/2023,12/7/2023,1,3,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1046007
2023-00082499,12/7/2023,12/7/2023,1,2,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),-1046006
2023-00086519,12/23/2023,12/23/2023,1,1,23C,21-1706,PETIT LARCENY (SHOPLIFTING),-1045931
2023-00087399,12/28/2023,12/28/2023,1,3,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,-1045865
2023-00046289,7/14/2023,7/14/2023,1,3,09A,21-701.7,MURDER FIRST DEGREE,-1045835
2023-00077534,11/16/2023,7/8/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045819
2023-00081979,12/4/2023,11/29/2023,1,1,26A,21-1541.1,ATTEMPT / OBTAIN PROPERTY BY FALSE PRETENSE <$500,-1045720
2023-00064097,9/25/2023,9/24/2023,1,2,90F,21-843.5.C,CHILD NEGLECT,-1045687
2023-00087844,12/30/2023,1/14/2024,1,2,83B,MISPER,MISSING PERSON,-1045662
2023-00084216,12/14/2023,12/14/2023,1,1,86C,4-403,ANIMAL BITE,-1045580
2023-00088070,12/31/2023,12/31/2023,1,1,90Z,24-403,DIST THE PEACE,-1045557
2023-00087365,12/28/2023,12/28/2023,1,1,86D,4-603,NUISANCE ANIMAL,-1045554
2023-00086960,12/26/2023,12/26/2023,1,1,90J,J24-505,JV TRESPASSING,-1045552
2023-00074948,11/6/2023,9/14/2023,4,1,11A,21-843.5,"CAUSE/PROCURE/PERMIT ABUSE, NEGLECT, EXPLOITATION, OR SEXUAL ABUSE OF CHILD (FORCIBLE RAPE)",-1045533
2023-00086635,12/24/2023,12/24/2023,1,1,23C,24-503,PETTY LARCENY,-1045487
2023-00086545,12/24/2023,12/24/2023,1,1,90E,24-202,PUBLIC INTOX,-1045486
2023-00086355,12/23/2023,12/23/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1045474
2023-00086355,12/23/2023,12/23/2023,1,1,90J,24-505,TRESPASSING,-1045473
2023-00086240,12/22/2023,12/21/2023,1,1,86D,4-503,CONFINEMENT/AT LARGE,-1045471
2023-00085770,12/20/2023,12/20/2023,1,1,23C,24-503,PETTY LARCENY,-1045469
2023-00086005,12/21/2023,12/21/2023,1,1,90Z,24-310,OUTRAGING PUB DEC,-1045467
2023-00085800,12/20/2023,12/20/2023,1,1,90E,24-202,PUBLIC INTOX,-1045462
2023-00085220,12/18/2023,12/18/2023,1,1,86D,4-503,CONFINEMENT/AT LARGE,-1045454
2023-00084880,12/17/2023,12/17/2023,1,1,90E,24-202,PUBLIC INTOX,-1045451
2023-00087456,12/29/2023,12/29/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045433
2023-00084920,12/17/2023,12/17/2023,1,2,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045415
2023-00087774,12/30/2023,12/30/2023,1,1,90Z,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM (ALL OTHER OFFENSES),-1045381
2023-00083570,12/11/2023,1/4/2024,1,3,90Z,13-176.3,VIOLATING SECURITY OF COMMUNICATIONS,-1045380
2023-00087474,12/29/2023,12/29/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1045376
2023-00088064,12/31/2023,12/31/2023,1,3,290,24-502,MOLESTING PROP,-1045371
2023-00088064,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045369
2023-00088064,12/31/2023,12/31/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1045368
2023-00087950,12/31/2023,12/31/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1045358
2023-00087950,12/31/2023,12/31/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1045357
2023-00087536,12/29/2023,12/29/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1045355
