TicketDatetime,TicketNumber,TicketType,Statute,Description,Sex,Race,Ethnicity,Age,LocNumber,LocPrefix,LocStreet,LocType,LocSuffix,XLocPrefix,XLocStreet,XLocType,XLocSuffix,PersonnelRace,PersonnelSex,PersonnelAge,PersonnelYears,PersonnelEthnicity
08/21/2022 22:00:00,58051,Traffic,M20-510,IMP REGISTRATION,Female,White,,34,,,24TH,AVE,SE,,ALAMEDA,ST,,White,Male,21,0,Non Hispanic
08/22/2022 17:37:00,58052,Traffic,M20-510,IMP REGISTRATION,Female,White,,25,1200,W,MAIN,ST,,,,,,White,Male,21,0,Non Hispanic
08/28/2022 17:32:00,57851,Traffic,M20-543,NO INSURANCE VERIF,Female,White,Non Hispanic,23,,,12TH,AVE,SE,,ALAMEDA,ST,,White,Male,21,0,Non Hispanic
08/27/2022 17:07:00,654500,Traffic,M20-510,IMP REGISTRATION,Female,White,,52,,E,JOHNSON,ST,,N,PORTER,AVE,,White,Male,21,0,Non Hispanic
09/04/2022 17:46:00,58055,Traffic,M20-509,DR W/O LICENSE,Female,White,Unknown,26,,,WOODS,AVE,,W,ROBINSON,ST,,White,Male,22,0,Non Hispanic
09/03/2022 17:24:00,58054,Traffic,M20-809,FAIL TO YIELD,Male,White,Unknown,20,,N,FINDLAY,AVE,,E,ROBINSON,ST,,White,Male,21,0,Non Hispanic
09/06/2022 20:43:00,58059,Traffic,M20-543,NO INSURANCE VERIF,Male,White,Unknown,45,,N,FLOOD,AVE,,W,TECUMSEH,RD,,White,Male,22,0,Non Hispanic
09/06/2022 20:43:00,58058,Traffic,M20-510,IMP REGISTRATION,Male,White,Unknown,45,,N,FLOOD,AVE,,W,TECUMSEH,RD,,White,Male,22,0,Non Hispanic
09/06/2022 20:43:00,58057,Traffic,M20-509C2,DUS,Male,White,Unknown,45,,N,FLOOD,AVE,,W,TECUMSEH,RD,,White,Male,22,0,Non Hispanic
09/06/2022 20:43:00,58056,Traffic,M20-537,FTY - LEFT TURN,Male,White,,17,,N,FLOOD,AVE,,W,TECUMSEH,RD,,White,Male,22,0,Non Hispanic
08/28/2022 18:46:00,W249055,Warning,M20-602,IMP EQUIP/CARS,Female,White,Unknown,46,,,12TH,AVE,NE,E,MAIN,ST,,White,Male,21,0,Non Hispanic
08/28/2022 18:46:00,W249054,Warning,M20-510,IMP REGISTRATION,Female,White,Unknown,46,,,12TH,AVE,NE,E,MAIN,ST,,White,Male,21,0,Non Hispanic
08/28/2022 18:46:00,W249056,Warning,M20-543,NO INSURANCE VERIF,Female,White,Unknown,46,,,12TH,AVE,NE,E,MAIN,ST,,White,Male,21,0,Non Hispanic
08/27/2022 19:30:00,W250075,Warning,M20-510,IMP REGISTRATION,Male,White,Non Hispanic,28,300,,12TH,AVE,SE,,,,,White,Male,21,0,Non Hispanic
08/27/2022 19:30:00,W249051,Warning,M20-543,NO INSURANCE VERIF,Male,White,Non Hispanic,28,300,,12TH,AVE,SE,,,,,White,Male,21,0,Non Hispanic
08/28/2022 00:04:00,W249052,Warning,M20-602,IMP EQUIP/CARS,Female,White,,34,,W,EUFAULA,ST,,S,SANTA FE,AVE,,White,Male,21,0,Non Hispanic
08/28/2022 17:28:00,W249053,Warning,M20-510,IMP REGISTRATION,Female,White,Non Hispanic,23,,,12TH,AVE,SE,,ALAMEDA,ST,,White,Male,21,0,Non Hispanic
08/28/2022 20:33:00,W249057,Warning,M20-602,IMP EQUIP/CARS,Female,White,,43,,,12TH,AVE,NE,E,ROCK CREEK,RD,,White,Male,21,0,Non Hispanic
08/23/2022 23:07:00,W249034,Warning,M20-510,IMP REGISTRATION,Male,White,Unknown,19,,,24TH,AVE,SE,E,STATE HWY 9,HWY,,White,Male,21,0,Non Hispanic
08/23/2022 21:43:00,W249033,Warning,M20-602,IMP EQUIP/CARS,Female,White,Unknown,52,,,ED NOBLE,PKWY,,W,MAIN,ST,,White,Male,21,0,Non Hispanic
08/20/2022 21:16:00,W249027,Warning,M20-510,IMP REGISTRATION,Male,White,Non Hispanic,47,,,517 N PORTER,,,,,,,White,Male,21,0,Non Hispanic
08/20/2022 18:57:00,W249026,Warning,M20-510,IMP REGISTRATION,Female,White,,18,,E,ROBINSON,ST,,N,CARTER,AVE,,White,Male,21,0,Non Hispanic
08/20/2022 22:10:00,W249028,Warning,M20-534,IMP LEFT TURN/2WY RD,Female,White,Unknown,71,,N,CRAWFORD,AVE,,E,GRAY,ST,,White,Male,21,0,Non Hispanic
08/20/2022 22:51:00,W249029,Warning,M20-602,IMP EQUIP/CARS,Female,White,,22,,,CLASSEN,BLVD,,,DRAKE,DR,,White,Male,21,0,Non Hispanic
08/21/2022 22:00:00,W249031,Warning,M20-602,IMP EQUIP/CARS,Female,White,,34,,,24TH,AVE,SE,,ALAMEDA,ST,,White,Male,21,0,Non Hispanic
08/21/2022 20:36:00,W249030,Warning,M20-510,IMP REGISTRATION,Male,White,,19,,,CLASSEN,BLVD,,E,BROOKS,ST,,White,Male,21,0,Non Hispanic
09/16/2022 22:00:00,58061,Traffic,M20-602,IMP EQUIP/CARS,Male,White,Non Hispanic,33,1325,,12TH,AVE,NE,,,,,White,Male,22,0,Non Hispanic
09/03/2022 17:29:00,W249035,Warning,M20-510,IMP REGISTRATION,Male,White,Unknown,20,,N,FINDLAY,AVE,,E,ROBINSON,ST,,White,Male,21,0,Non Hispanic
09/04/2022 17:39:00,W249036,Warning,M20-510,IMP REGISTRATION,Female,White,Hispanic,26,,,WOODS,AVE,,W,ROBINSON,ST,,White,Male,22,0,Non Hispanic
09/05/2022 01:30:00,W249037,Warning,M20-602,IMP EQUIP/CARS,Male,Black,,44,,,12TH,AVE,NE,E,ROBINSON,ST,,White,Male,22,0,Non Hispanic
09/05/2022 01:30:00,W249038,Warning,M20-543,NO INSURANCE VERIF,Male,Black,,44,,,12TH,AVE,NE,E,ROBINSON,ST,,White,Male,22,0,Non Hispanic
09/05/2022 18:08:00,W249039,Warning,M20-510,IMP REGISTRATION,Female,White,Unknown,52,,E,MAIN,ST,,,12TH,AVE,NE,White,Male,22,0,Non Hispanic
09/06/2022 21:42:00,W249040,Warning,M20-602,IMP EQUIP/CARS,Female,White,,25,,,ALAMEDA,ST,,S,FINDLAY,AVE,,White,Male,22,0,Non Hispanic
09/22/2022 02:00:00,58062,Traffic,M20-809,FAIL TO YIELD,Male,White,,19,,E,MAIN,ST,,S,CRAWFORD,AVE,,White,Male,22,0,Non Hispanic
09/06/2022 23:20:00,W249041,Warning,M20-602,IMP EQUIP/CARS,Male,Black,,50,,,HAL MULDROW,DR,,W,MAIN,ST,,White,Male,22,0,Non Hispanic
09/23/2022 04:39:00,58063,Traffic,M20-1109,DIS TRAF SIG/RED,Male,White,,25,,,12TH,AVE,SE,,ALAMEDA,ST,,White,Male,22,0,Non Hispanic
09/10/2022 19:25:00,W249042,Warning,M20-510,IMP REGISTRATION,Female,Unknown,,19,,,ALAMEDA,ST,,S,PORTER,AVE,,White,Male,22,0,Non Hispanic
09/10/2022 22:40:00,W249043,Warning,M20-538,IMP LANE CHANGE,Male,White,Non Hispanic,22,,,12TH,AVE,SE,,BEAUMONT,ST,,White,Male,22,0,Non Hispanic
09/12/2022 20:02:00,W249044,Warning,M20-602,IMP EQUIP/CARS,Male,White,Unknown,29,,,24TH,AVE,SW,W,LINDSEY,ST,,White,Male,22,0,Non Hispanic
09/16/2022 23:08:00,W249045,Warning,M20-602,IMP EQUIP/CARS,Female,Black,Non Hispanic,27,,E,LINDSEY,ST,,,12TH,AVE,SE,White,Male,22,0,Non Hispanic
09/20/2022 21:41:00,W249046,Warning,M20-602,IMP EQUIP/CARS,Female,Black,,22,,,JENKINS,AVE,,E,LINDSEY,ST,,White,Male,22,0,Non Hispanic
09/22/2022 22:27:00,W249048,Warning,M20-1103,DIS TRAF CONT DEV,Female,White,,20,,,BILOXI,DR,,,BEAUMONT,DR,,White,Male,22,0,Non Hispanic
09/22/2022 23:06:00,W249049,Warning,M20-602,IMP EQUIP/CARS,Male,White,Non Hispanic,19,,E,LINDSEY,ST,,,CLASSEN,BLVD,,White,Male,22,0,Non Hispanic
09/22/2022 23:24:00,W249050,Warning,M20-602,IMP EQUIP/CARS,Female,White,,19,,,CLASSEN,BLVD,,E,BROOKS,ST,,White,Male,22,0,Non Hispanic
09/20/2022 23:05:00,W249047,Warning,M20-602,IMP EQUIP/CARS,Female,White,Unknown,39,,S,PORTER,AVE,,E,MAIN,ST,,White,Male,22,0,Non Hispanic
09/24/2022 02:47:00,W250651,Warning,M20-602,IMP EQUIP/CARS,Male,White,,21,2620,,CLASSEN,BLVD,,,,,,White,Male,22,0,Non Hispanic
09/24/2022 02:47:00,W250652,Warning,M20-510,IMP REGISTRATION,Male,White,,21,2620,,CLASSEN,BLVD,,,,,,White,Male,22,0,Non Hispanic
10/01/2022 12:33:00,W250663,Warning,M20-504,DRIVING OVER A CURB,Male,White,,18,,,24TH,AVE,NW,W,MAIN,ST,,White,Male,22,0,Non Hispanic
10/04/2022 23:16:00,W250664,Warning,M20-502A,FAIL DEV TIME/ATTEN,Female,Black,,45,300,,12TH,AVE,NE,,,,,White,Male,22,0,Non Hispanic
09/27/2022 23:31:00,W250654,Warning,M20-602,IMP EQUIP/CARS,Male,Unknown,,18,2000,E,ROBINSON,ST,,,,,,White,Male,22,0,Non Hispanic
09/27/2022 22:38:00,W250653,Warning,M20-602,IMP EQUIP/CARS,Female,White,,22,2925,,CLASSEN,BLVD,,,,,,White,Male,22,0,Non Hispanic
09/28/2022 04:38:00,W250657,Warning,M20-810,FAIL TO STOP,Female,White,Unknown,59,1000,E,ROBINSON,ST,,,,,,White,Male,22,0,Non Hispanic
09/28/2022 03:00:00,W250656,Warning,M20-602,IMP EQUIP/CARS,Male,White,Unknown,48,,W,ROBINSON,ST,,N,FLOOD,AVE,,White,Male,22,0,Non Hispanic
09/28/2022 12:11:00,W250655,Warning,M20-602,IMP EQUIP/CARS,Female,Black,Unknown,39,,,BILOXI,DR,,E,LINDSEY,ST,,White,Male,22,0,Non Hispanic
