CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID,Bias
2023-00074893,11/6/2023,7/1/2010,1,2,90Z,21-1123,LEWD OR INDECENT PROPOSALS/ACTS TO CHILD (ALL OTHER OFFENSE),-1047471,NA
2023-00074893,11/6/2023,7/1/2010,1,1,90Z,2-Oct,CHILD ABUSE,-1047470,NA
2023-90000518,10/19/2023,2/14/2024,1,2,23C,24-503,PETTY LARCENY,-1047260,NA
2023-00065929,10/1/2023,10/1/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1047128,NA
2023-00080129,11/27/2023,11/27/2023,1,1,86C,ANIMALEXPOSURE,ANIMAL EXPOSURE / BITE,-1047088,NA
2023-00031675,5/16/2023,5/16/2023,1,3,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,-1046926,NA
2023-00032035,5/17/2023,3/5/2023,1,1,370,21-1021.2,PRODUCE/DIST/POSS JUVENILE PORNOGRAPHY,-1046873,NA
2023-00032020,5/17/2023,4/7/2023,1,1,370,21-1021.2,PRODUCE/DIST/POSS JUVENILE PORNOGRAPHY,-1046872,NA
2023-00084920,12/17/2023,2/9/2024,1,4,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1046777,NA
2023-00084920,12/17/2023,2/9/2024,1,3,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1046776,NA
2023-00071284,10/22/2023,10/22/2023,1,1,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,-1046772,NA
2023-00082872,12/8/2023,12/8/2023,1,1,90Z,21-1685,CRUELTY TO ANIMALS,-1046713,NA
2023-00081590,12/3/2023,2/6/2024,1,2,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1046712,NA
2023-00080345,11/28/2023,2/6/2024,1,7,90Z,47-4.107,REMOVED FALSIFIED OR UNAUTHORIZED IDENTIFICATION,-1046634,NA
2023-00080345,11/28/2023,2/6/2024,1,6,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1046633,NA
2023-00080345,11/28/2023,2/6/2024,1,5,90Z,21-540,OBSTRUCTING OFFICER,-1046632,NA
2023-00080345,11/28/2023,2/6/2024,1,4,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1046631,NA
2023-00080345,11/28/2023,2/6/2024,1,3,90Z,21-540,OBSTRUCTING OFFICER,-1046630,NA
2023-00080345,11/28/2023,2/6/2024,1,2,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1046629,NA
2023-00062687,9/19/2023,1/24/2024,3,9,250,21-1500,SECURING REAL PROPERTY LOAN W/FALSE INSTRUMENT (COUNTERFEITING/FORGERY),-1046596,NA
2023-00062687,9/19/2023,1/24/2024,1,8,250,21-1578,POSS OF FORGED / COUNTERFEIT EVIDENCE OF DEBT,-1046595,NA
2023-00062687,9/19/2023,1/24/2024,2,7,26A,21-1541.2,OBTAIN PROPERTY BY FALSE PRETENSE >$500 (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1046594,NA
2023-00062687,9/19/2023,1/24/2024,1,6,26A,21-1662,FRAUD ON INSURANCE COMPANY,-1046593,NA
2023-00062687,9/19/2023,1/24/2024,3,5,240,21-1720,LARCENY OF AUTO,-1046592,NA
2023-00062687,9/19/2023,1/24/2024,9,4,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1046591,NA
2023-00062687,9/19/2023,1/24/2024,3,3,26C,21-1531,FALSE PERSONATION,-1046590,NA
2023-00087277,12/28/2023,2/1/2024,1,2,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1046373,NA
2023-00064595,9/27/2023,6/1/2023,1,1,250,21-1592,UTTERING FORGED INSTRUMENTS (COUNTERFEITING/FORGERY),-1046330,NA
2023-00069783,10/17/2023,10/17/2023,1,1,90Z,CIRT INVESTIGATION,CIRT INVESTIGATION,-1046040,NA
2023-00082499,12/7/2023,12/7/2023,1,3,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1046007,NA
2023-00082499,12/7/2023,12/7/2023,1,2,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),-1046006,NA
2023-00086519,12/23/2023,12/23/2023,1,1,23C,21-1706,PETIT LARCENY (SHOPLIFTING),-1045931,NA
