CaseNumber,ReportedDate,CaseSubjectType,CaseSubjectSubType,SeqNumber,Age,Sex,Race,Ethnicity
2022-00024652,4/27/2022,Suspect,Arrestee,1,36,Male,White,Unknown
2022-00058620,9/21/2022,Victim,Individual,1,36,Male,White,Unknown
2022-00032977,5/31/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00012234,3/5/2022,Suspect,Arrestee,3,36,Female,White,Unknown
2022-00011365,3/2/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00072291,11/20/2022,Suspect,Arrestee,1,37,Female,White,Unknown
2022-00052991,8/28/2022,Suspect,Arrestee,1,37,Female,White,Unknown
2022-00024603,4/27/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00016962,3/27/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00055183,9/6/2022,Suspect,Protective Custody (Institutional),1,39,Male,White,Unknown
2022-00066133,10/23/2022,Suspect,Arrestee,1,59,Male,Black,Unknown
2022-00070661,11/12/2022,Suspect,Arrestee,1,59,Male,Black,Unknown
2022-00043733,7/16/2022,Suspect,Arrestee,1,59,Male,Black,Unknown
2022-00050023,8/16/2022,Suspect,Suspect (Known or Unknown),2,59,Male,Black,Unknown
2022-00065431,10/20/2022,Other,,1,59,Male,Black,Unknown
2022-00068776,11/3/2022,Other,,2,59,Male,Black,Unknown
2022-00068767,11/3/2022,Other,,1,59,Male,Black,Unknown
2022-00015683,3/22/2022,Suspect,Arrestee,1,59,Male,Black,Unknown
2022-00019463,4/6/2022,Suspect,Suspect (Known or Unknown),1,59,Male,Black,Unknown
2022-00006430,2/5/2022,Suspect,Warrant Request,1,58,Male,Black,Unknown
2022-00025554,5/1/2022,Suspect,Arrestee,2,25,Male,White,Unknown
2022-00027339,5/9/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00008617,2/16/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00012877,3/8/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00012224,3/5/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00051765,8/23/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00038728,6/25/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00022929,4/21/2022,Suspect,Arrestee,1,25,Male,White,Unknown
2022-00018511,4/2/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00025274,4/30/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00027494,5/10/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00025275,4/30/2022,Reporting Person,,1,63,Female,White,Unknown
2022-90000589,11/29/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000640,12/29/2022,Victim,Individual,2,63,Female,White,Unknown
2022-00049512,8/13/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00046411,7/29/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00025271,4/30/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00004118,1/24/2022,Other,,1,62,Female,White,Unknown
2022-00018504,4/2/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00044902,7/22/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00039818,6/29/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00045674,7/26/2022,Reporting Person,,1,63,Female,White,Unknown
2022-90000128,3/25/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000126,3/22/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000221,5/13/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000147,4/2/2022,Victim,Individual,2,63,Female,White,Unknown
2022-00007624,2/11/2022,Reporting Person,,1,62,Female,White,Unknown
2022-00011411,3/2/2022,Reporting Person,,1,63,Female,White,Unknown
2022-90000039,1/15/2022,Victim,Individual,2,62,Female,White,Unknown
2022-00011907,3/4/2022,Victim,Individual,1,63,Female,White,Unknown
2022-90000090,3/2/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000120,3/20/2022,Victim,Individual,2,63,Female,White,Unknown
2022-90000063,2/11/2022,Victim,Individual,2,62,Female,White,Unknown
2022-90000146,4/2/2022,Victim,Individual,2,63,Female,White,Unknown
2022-00072372,11/21/2022,Suspect,Warrant Request,1,28,Male,White,Unknown
2022-00052068,8/24/2022,Victim,Individual,1,39,Female,White,Unknown
2022-00079565,12/28/2022,Other,,5,33,Female,White,Unknown
2022-00077440,12/15/2022,Suspect,Warrant Request,1,25,Male,White,Unknown
2022-00000981,1/6/2022,Reporting Person,,2,34,Female,White,Unknown
2022-00026692,5/6/2022,Missing Person,Voluntary Adult / over 18 not meeting other criteria,1,25,Female,White,Unknown
2022-00079121,12/25/2022,Suspect,Arrestee,1,26,Female,White,Unknown
2022-00009340,2/19/2022,Victim,Individual,1,25,Female,White,Unknown
2022-00025910,5/3/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00026942,5/7/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00020069,4/8/2022,Suspect,Arrestee,2,42,Male,Black,Unknown
2022-00043046,7/13/2022,FI,,4,43,Male,Black,Unknown
2022-00070168,11/10/2022,Property Owner,,1,43,Male,Black,Unknown
2022-00019940,4/8/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00005012,1/28/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00019327,4/5/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00028419,5/13/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00005826,2/1/2022,Suspect,Arrestee,2,42,Male,Black,Unknown
2022-00009409,2/19/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00056213,9/10/2022,Suspect,Arrestee,1,43,Male,Black,Unknown
2022-00062799,10/8/2022,Suspect,Arrestee,1,43,Male,Black,Unknown
2022-00012318,3/6/2022,Suspect,Arrestee,1,42,Male,Black,Unknown
2022-00024116,4/25/2022,Suspect,Warrant Request,1,42,Male,Black,Unknown
2022-00026191,5/4/2022,Suspect,Suspect (Known or Unknown),1,42,Male,Black,Unknown
2022-00047375,8/2/2022,Suspect,Warrant Request,1,43,Male,Black,Unknown
2022-00070412,11/11/2022,Suspect,Suspect (Known or Unknown),3,25,Male,White,Unknown
2022-00080225,12/31/2022,Other,,4,50,Male,Black,Unknown
2022-00080225,12/31/2022,Other,,1,28,Female,White,Unknown
2022-00061436,10/3/2022,Suspect,Arrestee,1,46,Male,White,Unknown
2022-00029926,5/19/2022,Suspect,Arrestee,1,46,Male,White,Unknown
2022-00016467,3/25/2022,Suspect,Arrestee,1,46,Male,White,Unknown
2022-00022281,4/18/2022,Suspect,Arrestee,1,46,Male,White,Unknown
2022-00008312,2/14/2022,Suspect,Arrestee,1,45,Male,White,Unknown
2022-00052605,8/26/2022,Other,,1,52,Female,White,Unknown
2022-00080145,12/31/2022,Witness,,4,18,Male,White,Unknown
2022-00080145,12/31/2022,Witness,,3,18,Male,Asian,Unknown
2022-00080145,12/31/2022,Witness,,2,19,Male,White,Unknown
2022-00080202,12/31/2022,Reporting Person,,1,63,Female,White,Unknown
2022-00076963,12/13/2022,Victim,Individual,1,50,Female,White,Unknown
2022-00076963,12/13/2022,Suspect,Suspect (Known or Unknown),1,50,Male,White,Unknown
2022-00080154,12/31/2022,Victim,Individual,1,29,Female,Other,Unknown
2022-00079970,12/30/2022,Victim,Individual,1,32,Male,White,Unknown
2022-00079950,12/30/2022,Suspect,Warrant Request,1,18,Male,White,Unknown
2022-00079535,12/27/2022,Suspect,Arrestee,1,20,Male,Unknown,Unknown
2022-00079332,12/26/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00079514,12/27/2022,Reporting Person,,1,18,Male,White,Unknown
2022-00079514,12/27/2022,Victim,Individual,1,18,Male,White,Unknown
2022-00079359,12/26/2022,Victim,Individual,1,31,Male,White,Unknown
2022-00079544,12/27/2022,Suspect,Suspect (Known or Unknown),1,31,Female,Unknown,Unknown
2022-00079422,12/27/2022,Reporting Person,,1,43,Female,White,Unknown
2022-00078523,12/21/2022,Suspect,Arrestee,1,36,Female,White,Unknown
2022-00077993,12/18/2022,Suspect,Arrestee,1,45,Female,American Indian or Alaskan Native,Unknown
2022-00078285,12/20/2022,Victim,Individual,1,23,Male,White,Unknown
2022-00072632,11/22/2022,Witness,,4,55,Female,White,Non Hispanic
2022-00044973,7/22/2022,Other,,1,49,Male,Black,Non Hispanic
