TicketDatetime,TicketNumber,TicketType,Statute,Description,Sex,Race,Ethnicity,Age,LocNumber,LocPrefix,LocStreet,LocType,LocSuffix,XLocPrefix,XLocStreet,XLocType,XLocSuffix,PersonnelRace,PersonnelSex,PersonnelAge,PersonnelYears,PersonnelEthnicity
12/20/2023,W272680,Warning,32-410,IMP REGISTRATION,Male,White,,64,,W,LINDSEY,ST,,S,BERRY,RD,,White,Male,27,0,
12/20/2023,W272675,Warning,32-710,FAIL TO STOP,Male,Unknown,,68,,,BEAUMONT,ST,,,BILOXI,DR,,White,Male,27,0,
12/29/2023,272692,Warning,32-901,EXC SPEEDING,Male,Black,Unknown,65,3900,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/22/2023,272685,Warning,32-901,EXC SPEEDING,,,,45,4000,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/21/2023,272683,Warning,32-710,FAIL TO STOP,Female,White,Non Hispanic,65,,,BEAUMONT,DR,,,BILOXI,DR,,White,Male,27,0,
12/21/2023,272682,Warning,32-1009,DIS TRAF SIG/RED,Male,Black,Non Hispanic,51,,,12TH,AVE,NE,,MORREN,DR,,White,Male,27,0,
12/27/2023,272689,Warning,32-502,IMP EQUIP/CARS,Male,White,,57,,,12TH,AVE,NE,E,MAIN,ST,,White,Male,27,0,
12/28/2023,661073,Traffic,32-710,FAIL TO STOP,Male,White,,79,,E,JOHNSON,ST,,N,CRAWFORD,AVE,,White,Male,27,0,
12/27/2023,272688,Warning,32-710,FAIL TO STOP,Female,White,Unknown,76,,,BEAUMONT,ST,,,BILOXI,DR,,White,Male,27,0,
12/27/2023,272687,Warning,32-710,FAIL TO STOP,Male,White,Non Hispanic,61,,,LAMP POST,RD,,,MONTICELLO,RD,,White,Male,27,0,
12/16/2023,W272677,Warning,32-710,FAIL TO STOP,Male,White,Unknown,59,,,BEAUMONT,DR,,,BILOXI,DR,,White,Male,27,0,
12/20/2023,W272679,Warning,32-502,IMP EQUIP/CARS,Male,White,Unknown,38,,E,LINDSEY,ST,,,12TH,AVE,SE,White,Male,27,0,
12/20/2023,W272681,Warning,32-502,IMP EQUIP/CARS,,,,39,,W,STATE HWY 9,HWY,,S,BERRY,RD,,White,Male,27,0,
12/20/2023,W272678,Warning,32-710,FAIL TO STOP,Female,Black,Non Hispanic,29,,,BEAUMONT,ST,,,BILOXI,DR,,White,Male,27,0,
12/21/2023,272684,Warning,32-710,FAIL TO STOP,Male,White,Non Hispanic,28,,,BEAUMONT,DR,,,BILOXI,DR,,White,Male,27,0,
12/27/2023,660798,Traffic,32-402A,FAIL DEV TIME/ATTEN,Male,White,Non Hispanic,24,,W,MAIN,ST,,,ED NOBLE,PKWY,,White,Male,27,0,
12/28/2023,272690,Warning,32-439,FAIL TO SIGNAL,Female,White,,21,,W,BOYD,ST,,,24TH,AVE,SW,White,Male,27,0,
12/29/2023,661077,Traffic,32-437,IMP LANE CHANGE,Male,White,Non Hispanic,39,6200,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/30/2023,661074,Traffic,32-901,EXC SPEEDING,Female,White,Unknown,46,,,E STATE HWY 9 HWY,,,,,,,White,Male,27,0,
12/30/2023,661075,Traffic,32-409C1,DUR,Female,White,Unknown,46,,,E STATE HWY 9 HWY,,,,,,,White,Male,27,0,
12/29/2023,272693,Warning,32-901,EXC SPEEDING,Female,White,Non Hispanic,27,3900,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/29/2023,272691,Warning,32-901,EXC SPEEDING,Female,White,,34,3900,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/22/2023,272686,Warning,32-901,EXC SPEEDING,Female,White,,19,4000,E,STATE HWY 9,HWY,,,,,,White,Male,27,0,
12/30/2023,271203,Warning,32-502,IMP EQUIP/CARS,Female,Unknown,,20,,E,LINDSEY,ST,,,24TH,AVE,SE,White,Female,33,0,
12/30/2023,271204,Warning,32-442,NO INSURANCE VERIF,Female,Unknown,,20,,E,LINDSEY,ST,,,24TH,AVE,SE,White,Female,33,0,
12/20/2023,646701,Traffic,32-1010,DIS TRAF SIG/YELLOW,Female,White,,34,,E,ROCK CREEK,RD,,,12TH,AVE,NE,White,Female,33,0,
12/28/2023,271202,Warning,32-435,IMP RIGHT TURN,Female,White,Non Hispanic,42,,E,MAIN,ST,,N,PORTER,AVE,,White,Female,33,0,
12/28/2023,271201,Warning,32-442,NO INSURANCE VERIF,Female,White,Non Hispanic,42,,E,MAIN,ST,,N,PORTER,AVE,,White,Female,33,0,
12/28/2023,271200,Warning,32-439,FAIL TO SIGNAL,Female,White,Non Hispanic,42,,E,MAIN,ST,,N,PORTER,AVE,,White,Female,33,0,
12/27/2023,646702,Traffic,32-1009,DIS TRAF SIG/RED,Female,White,Non Hispanic,29,,N,PORTER,AVE,,E,MAIN,ST,,White,Female,33,0,
12/21/2023,272803,Warning,32-502,IMP EQUIP/CARS,Male,White,,18,2100,W,ROBINSON,ST,,,,,,White,Female,33,0,
12/30/2023,646705,Traffic,32-502,IMP EQUIP/CARS,Male,White,Unknown,17,2200,,CLASSEN,BLVD,,,,,,White,Female,33,0,
12/27/2023,660997,Traffic,32-902,SPEEDING,Male,White,Unknown,30,3900,E,STATE HWY 9,,,,,,,White,Male,28,0,
12/28/2023,660998,Traffic,32-901,EXC SPEEDING,Male,White,Non Hispanic,42,3700,N,FLOOD,AVE,,,,,,White,Male,28,0,
12/21/2023,272751,Warning,32-402A,FAIL DEV TIME/ATTEN,Male,Black,Non Hispanic,47,,W,MAIN,ST,,N,BERRY,RD,,White,Male,28,0,
12/27/2023,W272757,Warning,32-502,IMP EQUIP/CARS,Male,White,Unknown,69,,S,SANTA FE,AVE,,W,MAIN,ST,,White,Male,28,0,
12/20/2023,W272750,Warning,32-402A,FAIL DEV TIME/ATTEN,Male,White,,45,,,24TH,AVE,NW,,LEGACY PARK,DR,,White,Male,28,0,
12/28/2023,272760,Warning,32-502,IMP EQUIP/CARS,Male,White,,52,1700,,24TH,AVE,NW,,,,,White,Male,28,0,
12/27/2023,W272758,Warning,32-442,NO INSURANCE VERIF,Male,White,,22,,,ALAMEDA,ST,,,CLASSEN,BLVD,,White,Male,28,0,
12/21/2023,660995,Traffic,32-502,IMP EQUIP/CARS,Male,White,Unknown,29,800,,LEXINGTON,ST,,,,,,White,Male,28,0,
12/21/2023,660994,Traffic,32-442,NO INSURANCE VERIF,Male,White,Unknown,29,800,,LEXINGTON,ST,,,,,,White,Male,28,0,
12/21/2023,660993,Traffic,32-901,EXC SPEEDING,Male,White,Unknown,29,800,,LEXINGTON,ST,,,,,,White,Male,28,0,
12/21/2023,272755,Warning,32-410,IMP REGISTRATION,Male,White,Unknown,29,800,,LEXINGTON,ST,,,,,,White,Male,28,0,
12/26/2023,272756,Warning,32-502,IMP EQUIP/CARS,Male,Unknown,Unknown,24,400,,12TH,AVE,SE,,,,,White,Male,28,0,
12/27/2023,W272759,Warning,32-710,FAIL TO STOP,Male,White,,20,,,24TH,AVE,SE,E,CEDAR LANE,RD,,White,Male,28,0,
12/21/2023,660992,Traffic,32-902,SPEEDING,Male,White,Unknown,36,2100,W,ROBINSON,ST,,,,,,White,Male,28,0,
12/20/2023,660991,Traffic,32-901,EXC SPEEDING,Female,White,,21,1400,N,FLOOD,AVE,,,,,,White,Male,28,0,
9/29/2023,660554,Traffic,32-410,IMP REGISTRATION,Male,White,Non Hispanic,23,2808,E,STATE HWY 9,HWY,,,,,,White,Male,23,0,Non Hispanic
11/4/2023,W271859,Warning,32-902,SPEEDING,Male,White,Unknown,23,1595,N,FLOOD,AVE,,,,,,White,Male,23,0,Non Hispanic
12/3/2023,W271872,Warning,32-410,IMP REGISTRATION,Male,Black,Unknown,37,169,,12TH,AVE,NE,,,,,White,Male,23,0,Non Hispanic
12/31/2023,270652,Warning,32-410,IMP REGISTRATION,Male,White,Non Hispanic,36,1219,W,ROCK CREEK,RD,,,,,,White,Male,23,0,Non Hispanic
6/16/2023,W276800,Warning,32-433,IMP LEFT TURN/2WY RD,Female,Asian,Non Hispanic,39,,,12TH,AVE,SE,E,LINDSEY,ST,,White,Male,23,0,Non Hispanic
9/13/2023,W228161,Warning,32-442,NO INSURANCE VERIF,Female,White,Unknown,40,2590,,CLASSEN,BLVD,,,,,,White,Male,23,0,Non Hispanic
9/13/2023,648389,Traffic,32-410,IMP REGISTRATION,Female,White,Unknown,40,2590,,CLASSEN,BLVD,,,,,,White,Male,23,0,Non Hispanic
9/15/2023,W228163,Warning,32-502,IMP EQUIP/CARS,Male,Other,Hispanic,40,,,CREEKSIDE,DR,,,PRIVATE,RD,,White,Male,23,0,Non Hispanic
10/26/2023,W271854,Warning,32-410,IMP REGISTRATION,,,,20,408,S,BERRY,RD,,,,,,White,Male,23,0,Non Hispanic
12/10/2023,W278713,Warning,32-410,IMP REGISTRATION,Male,White,,20,2668,,CLASSEN,BLVD,,,,,,White,Male,23,0,Non Hispanic
10/7/2023,W278702,Warning,32-902,SPEEDING,Male,White,,22,1873,N,FLOOD,AVE,,,,,,White,Male,23,0,Non Hispanic
9/26/2023,W228166,Warning,32-410,IMP REGISTRATION,Female,Black,,32,387,,24TH,AVE,SW,,,,,White,Male,23,0,Non Hispanic
9/29/2023,W276823,Warning,32-410,IMP REGISTRATION,Male,White,Non Hispanic,26,182,,24TH,AVE,SE,,,,,White,Male,23,0,Non Hispanic
9/29/2023,W228168,Warning,32-437,IMP LANE CHANGE,Male,White,Non Hispanic,26,182,,24TH,AVE,SE,,,,,White,Male,23,0,Non Hispanic
10/20/2023,W271850,Warning,32-402A,FAIL DEV TIME/ATTEN,Female,White,Non Hispanic,26,1257,E,LINDSEY,ST,,,,,,White,Male,23,0,Non Hispanic
11/17/2023,W271864,Warning,32-402A,FAIL DEV TIME/ATTEN,,,,20,,S,UNIVERSITY,BLVD,,W,BOYD,ST,,White,Male,23,0,Non Hispanic
9/13/2023,648391,Traffic,32-410,IMP REGISTRATION,,,,20,1252,,ALAMEDA,ST,,,,,,White,Male,23,0,Non Hispanic
6/30/2023,W276810,Warning,32-435,IMP RIGHT TURN,Female,White,Non Hispanic,26,,,24TH,AVE,SW,W,MAIN,ST,,White,Male,23,0,Non Hispanic
10/27/2023,W271855,Warning,32-410,IMP REGISTRATION,Female,White,,20,,,ELM,AVE,,,HOOVER,ST,,White,Male,23,0,Non Hispanic
9/30/2023,W278700,Warning,32-410,IMP REGISTRATION,Male,White,Non Hispanic,26,2868,,12TH,AVE,NE,,,,,White,Male,23,0,Non Hispanic
12/29/2023,278721,Warning,32-410,IMP REGISTRATION,Male,White,,27,,W,STATE HWY 9,HWY,,S,BERRY,RD,,White,Male,23,0,Non Hispanic
7/25/2023,W276801,Warning,32-502,IMP EQUIP/CARS,Male,White,Non Hispanic,22,,W,BROOKS,ST,,,24TH,AVE,SW,White,Male,23,0,Non Hispanic
12/29/2023,278723,Warning,32-442,NO INSURANCE VERIF,Female,White,,22,928,W,LINDSEY,ST,,,,,,White,Male,23,0,Non Hispanic
12/29/2023,278722,Warning,32-410,IMP REGISTRATION,Female,White,,22,928,W,LINDSEY,ST,,,,,,White,Male,23,0,Non Hispanic
11/23/2023,W271866,Warning,32-410,IMP REGISTRATION,Male,White,,18,2912,W,ROBINSON,ST,,,,,,White,Male,23,0,Non Hispanic
9/13/2023,W228160,Warning,32-410,IMP REGISTRATION,Female,White,,18,,,CASTRO,ST,,,CLASSEN,BLVD,,White,Male,23,0,Non Hispanic
6/21/2023,659662,Traffic,32-410,IMP REGISTRATION,Male,Black,Unknown,27,,,24TH,AVE,NE,,ALAMEDA,ST,,White,Male,23,0,Non Hispanic
6/22/2023,W276807,Warning,32-710,FAIL TO STOP,Female,Black,Non Hispanic,27,2000,W,BROOKS,ST,,,,,,White,Male,23,0,Non Hispanic
10/21/2023,W271852,Warning,32-502,IMP EQUIP/CARS,Female,White,Non Hispanic,25,2909,,CLASSEN,BLVD,,,,,,White,Male,23,0,Non Hispanic
10/21/2023,W271851,Warning,32-409,DR W/O LICENSE,Female,White,Non Hispanic,25,2909,,CLASSEN,BLVD,,,,,,White,Male,23,0,Non Hispanic
12/30/2023,270651,Warning,32-409,DR W/O LICENSE,Male,Unknown,,20,202,,24TH,AVE,SE,,,,,White,Male,23,0,Non Hispanic
12/30/2023,270650,Warning,32-410,IMP REGISTRATION,Male,Unknown,,20,202,,24TH,AVE,SE,,,,,White,Male,23,0,Non Hispanic
12/2/2023,W271870,Warning,32-402A,FAIL DEV TIME/ATTEN,,,,19,,W,MAIN,ST,,,24TH,AVE,NW,White,Male,23,0,Non Hispanic
8/3/2023,659941,Traffic,32-902,SPEEDING,Male,Asian,Unknown,19,,,12TH,AVE,SE,E,LINDSEY,ST,,White,Male,23,0,Non Hispanic
9/15/2023,648393,Traffic,32-410,IMP REGISTRATION,Female,White,Unknown,20,,,12TH,AVE,SE,,ALAMEDA,ST,,White,Male,23,0,Non Hispanic
6/22/2023,W276804,Warning,32-410,IMP REGISTRATION,Male,White,Non Hispanic,26,191,,12TH,AVE,NE,,,,,White,Male,23,0,Non Hispanic
6/22/2023,W276805,Warning,32-442,NO INSURANCE VERIF,Male,White,Non Hispanic,26,191,,12TH,AVE,NE,,,,,White,Male,23,0,Non Hispanic
9/25/2023,W228165,Warning,32-437,IMP LANE CHANGE,Female,White,Non Hispanic,26,688,W,ROBINSON,ST,,,,,,White,Male,23,0,Non Hispanic
10/7/2023,660558,Traffic,32-902,SPEEDING,Male,White,Unknown,17,1771,N,FLOOD,AVE,,,,,,White,Male,23,0,Non Hispanic
9/9/2023,W276824,Warning,32-402A,FAIL DEV TIME/ATTEN,,,,17,,N,FLOOD,AVE,,W,TECUMSEH,RD,,White,Male,23,0,Non Hispanic
8/9/2023,W276819,Warning,32-410,IMP REGISTRATION,Male,White,Unknown,16,,,NEWMAN,DR,,,LONE OAK,DR,,White,Male,23,0,Non Hispanic
8/9/2023,659943,Traffic,32-901,EXC SPEEDING,Male,White,Unknown,16,,,NEWMAN,DR,,,LONE OAK,DR,,White,Male,23,0,Non Hispanic
7/7/2023,659671,Traffic,32-434,IMP LEFT TURN/OTHER,Female,White,Unknown,16,,W,MAIN,ST,,,ED NOBLE,PKWY,,White,Male,23,0,Non Hispanic
12/28/2023,278719,Warning,32-409,DR W/O LICENSE,Male,White,,30,1352,N,FLOOD,AVE,,,,,,White,Male,23,0,Non Hispanic
10/13/2023,W278707,Warning,32-410,IMP REGISTRATION,Female,White,,19,2375,W,ROBINSON,ST,,,,,,White,Male,23,0,Non Hispanic
10/28/2023,660654,Traffic,32-402A,FAIL DEV TIME/ATTEN,,,,19,,,12TH,AVE,NE,E,ROBINSON,ST,,White,Male,23,0,Non Hispanic
12/28/2023,278718,Warning,32-410,IMP REGISTRATION,Male,White,,30,1352,N,FLOOD,AVE,,,,,,White,Male,23,0,Non Hispanic
9/6/2023,W228157,Warning,32-402A,FAIL DEV TIME/ATTEN,Female,White,Non Hispanic,18,,W,MAIN,ST,,N,MERCEDES,DR,,White,Male,23,0,Non Hispanic
12/15/2023,660955,Traffic,32-402A,FAIL DEV TIME/ATTEN,Female,Black,Non Hispanic,36,,W,ROBINSON,ST,,,WOODS,AVE,,White,Male,23,0,Non Hispanic
12/14/2023,660954,Traffic,32-402A,FAIL DEV TIME/ATTEN,Male,White,Unknown,18,,,CHAUTAUQUA,AVE,,W,LINDSEY,ST,,White,Male,23,0,Non Hispanic
10/8/2023,W278705,Warning,32-410,IMP REGISTRATION,Male,Black,,17,829,,36TH,AVE,NW,,,,,White,Male,23,0,Non Hispanic
11/16/2023,W271862,Warning,32-410,IMP REGISTRATION,Female,White,,35,1045,,24TH,AVE,SW,,,,,White,Male,23,0,Non Hispanic
11/18/2023,660861,Traffic,32-402A,FAIL DEV TIME/ATTEN,Male,White,Unknown,27,,,24TH,AVE,NW,W,TECUMSEH,RD,,White,Male,23,0,Non Hispanic
10/6/2023,W278701,Warning,32-710,FAIL TO STOP,Male,White,Unknown,27,4892,W,ROCK CREEK,RD,,,,,,White,Male,23,0,Non Hispanic
10/6/2023,660557,Traffic,32-410,IMP REGISTRATION,Male,White,Unknown,27,4892,W,ROCK CREEK,RD,,,,,,White,Male,23,0,Non Hispanic
7/8/2023,659672,Traffic,32-410,IMP REGISTRATION,Female,White,,26,1393,E,LINDSEY,ST,,,,,,White,Male,23,0,Non Hispanic
7/8/2023,659673,Traffic,32-507,CHILD W/O RESTRAINT,Female,White,,26,1393,E,LINDSEY,ST,,,,,,White,Male,23,0,Non Hispanic
7/31/2023,W228155,Warning,32-402A,FAIL DEV TIME/ATTEN,Female,White,Unknown,19,,E,ROCK CREEK,RD,,N,PORTER,AVE,,White,Male,23,0,Non Hispanic
8/18/2023,W276822,Warning,32-502,IMP EQUIP/CARS,Male,White,Unknown,19,,S,BERRY,RD,,W,LINDSEY,ST,,White,Male,23,0,Non Hispanic
8/18/2023,659950,Traffic,32-410,IMP REGISTRATION,Male,White,Unknown,19,,S,BERRY,RD,,W,LINDSEY,ST,,White,Male,23,0,Non Hispanic
8/9/2023,659946,Traffic,32-902,SPEEDING,Female,White,Unknown,18,,E,STATE HWY 9,HWY,,,72ND,AVE,SE,White,Male,23,0,Non Hispanic
8/9/2023,659945,Traffic,32-441,ATTEMPT TO ELUDE PO,Female,White,Unknown,18,,E,STATE HWY 9,HWY,,,72ND,AVE,SE,White,Male,23,0,Non Hispanic
9/29/2023,660555,Traffic,32-410,IMP REGISTRATION,Female,White,Non Hispanic,21,801,,24TH,AVE,SE,,,,,White,Male,23,0,Non Hispanic
6/24/2023,W276808,Warning,32-902,SPEEDING,Female,White,Non Hispanic,32,,,BELLATONA,BLVD,,E,STATE HWY 9,HWY,,White,Male,23,0,Non Hispanic
9/22/2023,59034,Traffic,32-409,DR W/O LICENSE,Female,White,Hispanic,21,320,N,PORTER,AVE,,,,,,White,Male,23,0,Non Hispanic
11/9/2023,660656,Traffic,32-410,IMP REGISTRATION,Female,White,Unknown,30,1425,W,STATE HWY 9,HWY,,,,,,White,Male,23,0,Non Hispanic
7/8/2023,W276811,Warning,32-502,IMP EQUIP/CARS,Female,White,Non Hispanic,23,1400,E,IMHOFF,RD,,,,,,White,Male,23,0,Non Hispanic
