FILENUM,INCIDENT_TYPE,INVOLVMENT,SUBJ_TYPE,SUBJ_INC_NUM,AGE,YRS_EMPL,SEX,RACE,Allegations_SOURCE,ALLEGATION_MADE,FINDING,SERVICE_TYPE,UOF_SOURCE,RESISTANCE_TYPE,SUB_ACT_DESC,UOF_EFFECTIVE,SUBJ_INJ,SUBJ_INJ_HOSP
IAE2016-004,Complaint External--IAE,Complainant,Citizen,2692,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-001,Use of force,Complainant,Citizen,2700,27,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
IAE2016-004,Complaint External--IAE,Officer,Officer,7045,31,4,Female,Hispanic,Face Book,Improper Access of Computer data,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-001,Use of force,Officer,Officer,7035,54,20,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
IAE2016-002,Complaint External--IAE,Officer,Officer,7028,41,15,Male,White,Citizen Telephone Call,Caused Damage,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2016-002,Complaint External--IAE,Officer,Officer,7028,41,15,Male,White,Citizen Telephone Call,Untruthfulness,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-001,Use of force,Officer,Officer,7036,39,8,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2016-001,Use of force,Officer,Officer,7037,35,7,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Command Presence,No,No,No
IAE2016-004,Complaint External--IAE,Witness,Officer,7047,47,13,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-002,Use of force,Complainant,Citizen,2701,29,NA,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Active Fleeing,n/a,No,Yes
IAE2016-004,Complaint External--IAE,Witness,Officer,7024,39,16,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-002,Use of force,Officer,Officer,7038,28,2,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Taser,Yes,No,No
IQE2016-001,Inquiry External--IQE,Officer,Officer,7050,29,6,Male,White,Citizen In-Person,Excessive Force,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-003,Use of force,Complainant,Citizen,2714,21,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
IAE2016-002,Complaint External--IAE,Complainant,Citizen,2694,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-003,Use of force,Officer,Officer,7086,26,3,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Taser,Yes,Yes,Yes
IAE2016-003,Complaint External--IAE,Officer,Officer,7054,30,7,Male,White,NA,Harassment,No Misconduct,NA,NA,NA,NA,NA,NA,NA
UF2016-004,Use of force,Complainant,Citizen,2757,28,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IAE2016-002,Complaint External--IAE,Complainant,Citizen,2705,17,NA,Female,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-004,Use of force,Officer,Officer,7159,33,9,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Taser,Yes,No,No
IAI2016-002,Complaint Internal--IAI,Officer,Officer,7080,40,8,Female,White,Supervisor,Neglect or Inattention to Duty,Non-Sustained,NA,NA,NA,NA,NA,NA,NA
IAI2016-002,Complaint Internal--IAI,Officer,Officer,7080,40,8,Female,White,Supervisor,"Nonfeasance:  318, IV, L, 5",Sustained,NA,NA,NA,NA,NA,NA,NA
UF2016-005,Use of force,Complainant,Citizen,2764,31,NA,Male,Black,NA,NA,NA,Fight Call,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2016-005,Use of force,Witness,Citizen,2765,NA,NA,Female,White,NA,NA,NA,Fight Call,Employee,Active Resister Unarmed,NA,n/a,Yes,Yes
IAE2016-002,Complaint External--IAE,Witness,Citizen,2695,NA,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2016-005,Use of force,Officer,Officer,7182,53,14,Male,White,NA,NA,NA,Fight Call,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-005,Complaint External--IAE,Officer,Officer,7095,35,5,Male,White,Citizen In-Person,Harassment,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2016-005,Complaint External--IAE,Officer,Officer,7095,35,5,Male,White,Citizen In-Person,Illegal Traffic Stop,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2016-005,Use of force,Officer,Officer,7180,48,16,Male,White,NA,NA,NA,Fight Call,Employee,Active Resister Unarmed,Taser,Yes,No,No
