"","FILENUM","INCIDENT_TYPE","SOURCE","SUBJ_TYPE","SUBJ_INC_NUM","SERVICE_TYPE","RESISTANCE_TYPE","SUB_ACT_DESC","UOF_EFFECTIVE","SUBJ_INJ","SUBJ_INJ_HOSP","INVOLVMENT","AGE","YRS_EMPL","SEX","RACE","ALLEGATION_MADE","FINDING","RECEIVED_DT","OCCURRED_DT","INC_STATUS"
"1","CEF2023-001","Complaint External-Formal","Citizen Telephone Call","Officer",18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of federal, state, local or admin laws, rules or regulations","Sustained",2023-01-28,2023-01-28,"Completed"
"2","CEF2023-001","Complaint External-Formal",NA,"Officer",18899,NA,NA,NA,NA,NA,NA,"Complainant",40,"16","Male","Black",NA,NA,NA,NA,NA
"3","CEF2023-001","Complaint External-Formal",NA,"Officer",18900,NA,NA,NA,NA,NA,NA,"Officer",31,"1","Male","White",NA,NA,NA,NA,NA
"4","CEF2023-002","Complaint External-Formal","Citizen Telephone Call","Officer",18891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Unfounded",2023-01-27,2023-01-05,"Completed"
"5","CEF2023-002","Complaint External-Formal",NA,"Citizen",5039,NA,NA,NA,NA,NA,NA,"Complainant",37,NA,"Female","White",NA,NA,NA,NA,NA
"6","CEF2023-002","Complaint External-Formal",NA,"Officer",18891,NA,NA,NA,NA,NA,NA,"Officer",53,"9","Male","White",NA,NA,NA,NA,NA
"7","CEF2023-002","Complaint External-Formal",NA,"Officer",18892,NA,NA,NA,NA,NA,NA,"Witness",42,"18","Male","White",NA,NA,NA,NA,NA
"8","CEF2023-003","Complaint External-Formal","Citizen Telephone Call","Officer",18889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of policy","Sustained",2023-01-26,2023-01-22,"Completed"
"9","CEF2023-003","Complaint External-Formal",NA,"Citizen",5037,NA,NA,NA,NA,NA,NA,"Complainant",23,NA,"Male","White",NA,NA,NA,NA,NA
"10","CEF2023-003","Complaint External-Formal",NA,"Citizen",5038,NA,NA,NA,NA,NA,NA,"Witness",NA,NA,"m","w",NA,NA,NA,NA,NA
"11","CEF2023-003","Complaint External-Formal",NA,"Officer",18889,NA,NA,NA,NA,NA,NA,"Officer",43,"14","Male","White",NA,NA,NA,NA,NA
"12","CEF2023-003","Complaint External-Formal",NA,"Officer",18890,NA,NA,NA,NA,NA,NA,"Witness",26,"4","male","white",NA,NA,NA,NA,NA
"13","CEF2023-004","Complaint External-Formal","Citizen Telephone Call","Officer",18995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Exonerated",2023-02-22,2023-01-10,"Completed"
"14","CEF2023-004","Complaint External-Formal",NA,"Citizen",5073,NA,NA,NA,NA,NA,NA,"Complainant",29,NA,"Male","White",NA,NA,NA,NA,NA
"15","CEF2023-004","Complaint External-Formal",NA,"Officer",18995,NA,NA,NA,NA,NA,NA,"Officer",42,"12","Male","White",NA,NA,NA,NA,NA
"16","CEF2023-006","Complaint External-Formal","Citizen Telephone Call","Officer",19053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of employee","Unfounded",2023-03-13,2023-03-13,"Completed"
"17","CEF2023-006","Complaint External-Formal",NA,"Citizen",5083,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Black",NA,NA,NA,NA,NA
"18","CEF2023-006","Complaint External-Formal",NA,"Officer",19053,NA,NA,NA,NA,NA,NA,"Officer",25,"4","male","white",NA,NA,NA,NA,NA
"19","CEF2023-006","Complaint External-Formal",NA,"Officer",19054,NA,NA,NA,NA,NA,NA,"Witness",30,"1","male","white",NA,NA,NA,NA,NA
"20","CEF2023-007","Complaint External-Formal","Citizen Telephone Call","Officer",19134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Sustained",2023-03-26,2023-03-26,"Completed"
"21","CEF2023-007","Complaint External-Formal",NA,"Citizen",5100,NA,NA,NA,NA,NA,NA,"Witness",NA,NA,"Unknown","Unknown",NA,NA,NA,NA,NA
"22","CEF2023-007","Complaint External-Formal",NA,"Officer",19134,NA,NA,NA,NA,NA,NA,"Officer",41,"12","Male","White",NA,NA,NA,NA,NA
"23","CEF2023-007","Complaint External-Formal",NA,"Officer",20111,NA,NA,NA,NA,NA,NA,"Witness",37,"7","Male","Vietnamese",NA,NA,NA,NA,NA
"24","CEF2023-008","Complaint External-Formal","Employee","Officer",19195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-04-17,2023-04-17,"Completed"
"25","CEF2023-008","Complaint External-Formal",NA,"Citizen",5117,NA,NA,NA,NA,NA,NA,"Complainant",NA,NA,"Male","Unknown",NA,NA,NA,NA,NA
"26","CEF2023-008","Complaint External-Formal",NA,"Citizen",5118,NA,NA,NA,NA,NA,NA,"Witness",NA,NA,"Female","White",NA,NA,NA,NA,NA
