"","FILENUM","INCIDENT_TYPE","SOURCE","SUBJ_TYPE","SUBJ_INC_NUM","SERVICE_TYPE","RESISTANCE_TYPE","SUB_ACT_DESC","UOF_EFFECTIVE","SUBJ_INJ","SUBJ_INJ_HOSP","INVOLVMENT","AGE","YRS_EMPL","SEX","RACE","ALLEGATION_MADE","FINDING","RECEIVED_DT","OCCURRED_DT","INC_STATUS"
"1","CEF2023-001","Complaint External-Formal","Citizen Telephone Call","Officer",18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of federal, state, local or admin laws, rules or regulations","Sustained",2023-01-28,2023-01-28,"Completed"
"2","CEF2023-002","Complaint External-Formal","Citizen Telephone Call","Officer",18891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Unfounded",2023-01-27,2023-01-05,"Completed"
"3","CEF2023-003","Complaint External-Formal","Citizen Telephone Call","Officer",18889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laws, Rules, and Orders - Violation of policy","Sustained",2023-01-26,2023-01-22,"Completed"
"4","CEF2023-004","Complaint External-Formal","Citizen Telephone Call","Officer",18995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Exonerated",2023-02-22,2023-01-10,"Completed"
"5","CEF2023-006","Complaint External-Formal","Citizen Telephone Call","Officer",19053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of employee","Unfounded",2023-03-13,2023-03-13,"Completed"
"6","CEF2023-007","Complaint External-Formal","Citizen Telephone Call","Officer",19134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Discourteous or disrespectful treatment of public","Sustained",2023-03-26,2023-03-26,"Completed"
"7","CEF2023-008","Complaint External-Formal","Employee","Officer",19195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","No Misconduct",2023-04-17,2023-04-17,"Completed"
"8","CEF2023-009","Complaint External-Formal","Citizen In-Person","Officer",19146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Performance - Making false or misleading statements","Sustained",2023-04-09,2023-04-09,"Completed"
"9","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","Unfounded",2023-04-19,2023-04-18,"Completed"
"10","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department Values Violation - Service Attitude","Sustained",2023-04-19,2023-04-18,"Completed"
"11","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conduct - Unreasonable or unwarranted use of force","Unfounded",2023-04-19,2023-04-18,"Completed"
"12","CEF2023-010","Complaint External-Formal","Outside LE Agency","Officer",19222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department Values Violation - Service Attitude","Sustained",2023-04-19,2023-04-18,"Completed"
