AccidentDatetime,CaseNumber,ORI,HouseNumber,StreetPrefix,StreetPreType,StreetName,StreetType,StreetSuffix,XStreetPrefix,XStreetPreType,XStreetName,XStreetType,XStreetSuffix,UnitNumber,UnitType,DriverPedCondition,ChemicalTest,ContributingFactors
1/1/2023,2023-00000048,OK0140200,,,,I35 NB OFF RAMP 110,RAMP,,W,,ROBINSON,ST,,1,D - Driver,Drinking - Ability Impaired,Test Refused,Alcohol DUI/DWI
1/1/2023,2023-00000136,OK0140200,,W,,GRAY,ST,,N,,JONES,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/1/2023,2023-00000136,OK0140200,,W,,GRAY,ST,,N,,JONES,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/1/2023,2023-00000153,OK0140200,,,,60TH,AVE,NE,E,,ROCK CREEK,RD,,1,D - Driver,Apparently Normal,None Given,Distraction from Outside the Vehicle
1/1/2023,2023-00000153,OK0140200,,,,60TH,AVE,NE,E,,ROCK CREEK,RD,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/2/2023,2023-00000306,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,SW,1,D - Driver,Apparently Normal,None Given,Fail to Yield Other
1/2/2023,2023-00000306,OK0140200,,W,,MAIN,ST,,,,24TH,AVE,SW,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/2/2023,2023-00000356,OK0140200,,,,CLASSEN,BLVD,,,,SH9 EB OFF RAMP,RAMP,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/2/2023,2023-00000356,OK0140200,,,,CLASSEN,BLVD,,,,SH9 EB OFF RAMP,RAMP,,1,D - Driver,Apparently Normal,None Given,Inattention Other
1/2/2023,2023-00000444,OK0140200,,W,,STATE HWY 9,HWY,,,,CHAUTAUQUA,AVE,,1,D - Driver,Under the Influence of Medication,Blood,Drug - DUI
1/2/2023,2023-00000444,OK0140200,,W,,STATE HWY 9,HWY,,,,CHAUTAUQUA,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2023,2023-00000445,OK0140200,,N,,BERRY,RD,,,,REGENT,ST,,1,D - Driver,Apparently Normal,None Given,Other Distraction Inside
1/3/2023,2023-00000498,OK0140200,,W,,GRAY,ST,,N,,JAMES GARNER,AVE,,1,D - Driver,Apparently Normal,None Given,From Stop Sign
1/3/2023,2023-00000498,OK0140200,,W,,GRAY,ST,,N,,JAMES GARNER,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/3/2023,2023-00000573,OK0140200,,,,COLLEGE,AVE,,W,,BOYD,ST,,1,D - Driver,Unknown,None Given,Left of Center Other
1/3/2023,2023-00000573,OK0140200,,,,COLLEGE,AVE,,W,,BOYD,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000696,OK0140200,,,,12TH,AVE,NE,E,,MAIN,ST,,1,D - Driver,Under the Influence of Medication,Blood/Breath,Drug - DUI
1/4/2023,2023-00000696,OK0140200,,,,12TH,AVE,NE,E,,MAIN,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000703,OK0140200,,E,,TECUMSEH,RD,,,,12TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,Fail to Yield Other
1/4/2023,2023-00000703,OK0140200,,E,,TECUMSEH,RD,,,,12TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000710,OK0140200,,,,STUBBEMAN,AVE,,W,,ROBINSON,ST,,1,D - Driver,Apparently Normal,None Given,For Traffic Signal
1/4/2023,2023-00000710,OK0140200,,,,STUBBEMAN,AVE,,W,,ROBINSON,ST,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000765,OK0140200,,,,12TH,AVE,SE,,,COMMERCE,DR,,2,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2023,2023-00000765,OK0140200,,,,12TH,AVE,SE,,,COMMERCE,DR,,1,D - Driver,Apparently Normal,None Given,Improper Act Other Unkn
1/4/2023,2023-00000786,OK0140200,,N,,PETERS,AVE,,E,,GRAY,ST,,1,D - Driver,Other,None Given,To Emergency Vehicles
1/4/2023,2023-00000786,OK0140200,,N,,PETERS,AVE,,E,,GRAY,ST,,2,D - Driver,Not Applicable,None Given,No Improper Action by Driver
1/4/2023,2023-00000797,OK0140200,,W,,MAIN,ST,,N,,LAHOMA,AVE,,1,D - Driver,Apparently Normal,None Given,Right
1/4/2023,2023-00000797,OK0140200,,W,,MAIN,ST,,N,,LAHOMA,AVE,,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
1/4/2023,2023-00000801,OK0140200,,,,ALAMEDA,ST,,,,12TH,AVE,NE,1,D - Driver,Apparently Normal,None Given,From Signal Light
1/4/2023,2023-00000801,OK0140200,,,,ALAMEDA,ST,,,,12TH,AVE,NE,2,D - Driver,Apparently Normal,None Given,No Improper Action by Driver
